Mode,OBJECTID,STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,TICKETZONE,ROUTES_USING_STOP,SHAPE,SE_ANNO_CAD_DATA,In City Of Melbourne
TRAIN,19,19843,Parliament Railway Station (Melbourne City),-37.8111,144.9729,1,"Belgrave,Craigieburn,Cranbourne,Flemington,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sunbury,Upfield,Alamein",POINT (-37.81105398 144.97291116),,True
TRAIN,30,19854,Flinders Street Railway Station (Melbourne City),-37.8183,144.967,1,"Belgrave,Craigieburn,Cranbourne,Flemington,Frankston,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sandringham,Sunbury,Upfield,Werribee,Williamstown,Alamein",POINT (-37.81830501 144.96696396),,True
BUS,1300,1092,Alexandra Ave/Punt Rd (South Yarra),-37.8309,144.9878,1,246,POINT (-37.83086397 144.98776404),,True
BUS,3264,1397,Epsom Rd/Smithfield Rd (Kensington),-37.7895,144.9224,1,404,POINT (-37.78953696 144.92238696),,True
BUS,3272,1398,Gatehouse Dr/Smithfield Rd (Kensington),-37.7913,144.9197,1,404,POINT (-37.79133696 144.91970208),,True
BUS,5142,1781,Nicholson St/Elgin St (Fitzroy),-37.798,144.9743,1,"207,200",POINT (-37.797984 144.974313),,True
BUS,5404,16830,Melbourne University/Royal Pde (Parkville),-37.7984,144.9579,1,"546,505",POINT (-37.79843004 144.95785596),,True
BUS,5405,16831,Cemetery Rd/College Cres (Parkville),-37.792,144.9612,1,546,POINT (-37.79199 144.96118992),,True
BUS,5406,16832,Rathdowne St/Princes St (Carlton),-37.7926,144.9708,1,546,POINT (-37.79262504 144.97081416),,True
BUS,5407,16833,Lygon St/Cemetery Rd (Carlton),-37.7929,144.9677,1,546,POINT (-37.79291403 144.96770592),,True
BUS,5744,20160,Victoria St/Rathdowne St (Carlton),-37.8069,144.969,1,402,POINT (-37.80685098 144.96901596),,True
BUS,5976,1880,Rathdowne St/Elgin St (Carlton),-37.7976,144.9709,1,"207,200",POINT (-37.79761896 144.97092684),,True
BUS,6871,19656,Flinders St/Queens Bridge St (Melbourne City),-37.8195,144.9611,1,"236,234",POINT (-37.81945602 144.96105996),,True
BUS,6873,19668,Stanley St/Spencer St (West Melbourne),-37.8087,144.9487,1,216,POINT (-37.80867096 144.94873716),,True
BUS,6661,20836,Southern Cross Coach Terminal/Spencer St (Melbourne City),-37.8151,144.9511,"1,6",684,POINT (-37.815084 144.95114916),,True
BUS,6493,20458,Flinders Lane/Queen St (Melbourne City),-37.8181,144.962,1,605,POINT (-37.81809297 144.96200604),,True
BUS,6494,20459,Flinders Lane/Queen St (Melbourne City),-37.8177,144.9618,1,"220,234,236,216",POINT (-37.817685 144.96182388),,True
BUS,6496,20460,Collins St/Queen St (Melbourne City),-37.8166,144.9613,1,"309,303",POINT (-37.81664802 144.96129612),,True
BUS,6497,20461,Little Collins St/Queen St (Melbourne City),-37.8162,144.9611,1,"207,250,251,350,200",POINT (-37.81617597 144.96110388),,True
BUS,6498,20462,Bourke St/Queen St (Melbourne City),-37.8153,144.9607,1,"220,232,234,235,236,000,000",POINT (-37.81526796 144.96069816),,True
BUS,6499,20463,Bourke St/Queen St (Melbourne City),-37.8145,144.9604,1,"207,250,251,303,309,000,000",POINT (-37.81453203 144.96036588),,True
BUS,6500,20464,Bourke St/Queen St (Melbourne City),-37.8145,144.9603,1,605,POINT (-37.81446804 144.96032196),,True
BUS,6501,20465,Lonsdale St/Queen St (Melbourne City),-37.8134,144.9598,1,"220,232,234,235,236,000,000",POINT (-37.81336896 144.95982984),,True
BUS,6502,20466,La Trobe St/Queen St (Melbourne City),-37.8117,144.9591,1,"232,234,235,236,237,000",POINT (-37.81169802 144.95906916),,True
BUS,6503,20468,Queen Victoria Market/Franklin St (Melbourne City),-37.8095,144.9562,1,"232,234,235,236,237,000,000",POINT (-37.80949401 144.95618808),,True
BUS,6504,20469,Queen Victoria Market/Peel St (Melbourne City),-37.8093,144.9555,1,220,POINT (-37.80933003 144.95553396),,True
BUS,6506,20470,William St/A'Beckett St (Melbourne City),-37.8105,144.9563,1,"232,234,235,236,237,000",POINT (-37.81048797 144.956331),,True
BUS,6507,20471,La Trobe St/Queen St (Melbourne City),-37.8106,144.9588,1,"232,234,235,236,237,000",POINT (-37.81060398 144.95884992),,True
